,tweet,tweet_preprocessing,sentimen
173,"mana sini, bukalapak undang gue... lol... kalau sesuai target audience nya~~",bukalapak undang gue lol sesuai target audience nya ,negatif
174,kumpulan novel fiksi import . bhs inggris . best seller in maret,kumpulan novel fiksi import bhs inggris best seller in maret,positif
175,dah kerja tahun di bukalapak tp gapernah post sekalipun ??,dah kerja bukalapak tp gapernah post ,negatif
176,saya sebagai pelapak dirugikan sepihak oleh karena mereka cancel orderan sepihak tanpa persetujuan pelaâ€¦,pelapak dirugikan cancel orderan persetujuan pelaâ ,negatif
177,saya sebagai pelapak dirugikan sepihak oleh karena mereka cancel orderan sepihak tanpa persetujuan pela\,pelapak dirugikan cancel orderan persetujuan pela ,negatif
178,marketplace paling konyol yg pernah ada,marketplace konyol yg,negatif
179,marketplace paling konyol yg pernah ada,marketplace konyol yg,negatif
180,gak usah ngebadut ya syopii!! jangan sampe gua pindah haluan ke bukalapak!!,gak ngebadut ya syopii sampe gua pindah haluan bukalapak ,netral
181,kenapa gk dibls keluhan saya,gk dibls keluhan,negatif
182,"baik, kak. maaf ya udah bikin kakak gak nyaman. bella cek untuk transaksi kakak di sudah dibaâ€¦",kak maaf ya udah bikin kakak gak nyaman bella cek transaksi kakak dibaâ ,negatif
183,"baik, kak. maaf ya udah bikin kakak gak nyaman. bella cek untuk transaksi kakak di sudah diba\",kak maaf ya udah bikin kakak gak nyaman bella cek transaksi kakak diba ,negatif
184,"kan sudah saya proses, semoga kalian tidak bertahan lama dgn membatalkan sepihak transaksi yg sdh diproâ€¦",proses semoga bertahan dgn membatalkan transaksi yg sdh diproâ ,negatif
185,"kan sudah saya proses, semoga kalian tidak bertahan lama dgn membatalkan sepihak transaksi yg sdh dipro\",proses semoga bertahan dgn membatalkan transaksi yg sdh dipro ,negatif
186,"netijen, please do your magic. bantu jualan gue di bukalapak yuk, belinya di sini:",netijen please do your magic bantu jualan gue bukalapak yuk belinya ,positif
187,"netijen, please do your magic. bantu jualan gue di bukalapak yuk, belinya di sini:",netijen please do your magic bantu jualan gue bukalapak yuk belinya ,positif
188,jual di bukalapak sama carousel deh cepet lakunya,jual bukalapak carousel deh cepet lakunya,positif
189,jual di bukalapak sama carousel deh cepet lakunya,jual bukalapak carousel deh cepet lakunya,positif
190,"loopers, cus streaming dan internetan dengan lancar pake kartu perdana internet telkomsel! beli aja d\",loopers cus streaming internetan lancar pake kartu perdana internet telkomsel beli aja d ,positif
191,"namun, mereka tidak memiliki cukup bukti yang menunjukkan perbaikan pasien yang signifikanâ€¦",memiliki bukti perbaikan pasien signifikanâ ,negatif
192,"namun, mereka tidak memiliki cukup bukti yang menunjukkan perbaikan pasien yang signifikan\",memiliki bukti perbaikan pasien signifikan ,negatif
193,"baik, kak. maaf banget ya udah bikin kakak gak nyaman. silakan kakak untuk melakukan kesepakatan terlebihâ€¦",kak maaf banget ya udah bikin kakak gak nyaman silakan kakak kesepakatan terlebihâ ,negatif
194,"baik, kak. maaf banget ya udah bikin kakak gak nyaman. silakan kakak untuk melakukan kesepakatan terlebih\",kak maaf banget ya udah bikin kakak gak nyaman silakan kakak kesepakatan ,negatif
195,saksikan live streaming leadership talks : strategi dan perjuangan perusahaan di era pandemic. sebentâ€¦,saksikan live streaming leadership talks strategi perjuangan perusahaan era pandemic sebentâ ,positif
196,"ini pembeli gk bisa dihubungi, kalian seenaknya aja melakukan transaksi ini, saya akan laporkan kalian dan akan saya viralkan",pembeli gk dihubungi aja transaksi laporkan viralkan,negatif
197,"ini pembeli gk bisa dihubungi, kalian seenaknya aja melakukan transaksi ini, saya akan laporkan kalian dan akan saya viralkan",pembeli gk dihubungi aja transaksi laporkan viralkan,negatif
198,"tersedia jg di bukalapak, shopee, toped, &amp; wa bro",tersedia jg bukalapak shopee toped amp wa bro,positif
199,"baik kak, maaf banget atas kendalanya. setelah bella cek untuk kendala kakak, sudah bella bantu sampaikanâ€¦",kak maaf banget kendalanya bella cek kendala kakak bella bantu sampaikanâ ,negatif
200,"baik kak, maaf banget atas kendalanya. setelah bella cek untuk kendala kakak, sudah bella bantu sampaikan\",kak maaf banget kendalanya bella cek kendala kakak bella bantu ,negatif
201,dan dia gamenang dong sebanyak ini dia beli mmm gatau sih msti prcya apa enggaðÿ™‚ bantuin bukalapak sanaâ€¦,gamenang beli mmm gatau sih msti prcya enggaðÿ bantuin bukalapak sanaâ ,negatif
202,"perusahaan teknologi asal indonesia, bukalapak, menghadirkan maingame(dot)com di dalam aplikasinya lewat program ""tâ€¦",perusahaan teknologi indonesia bukalapak menghadirkan maingame dot com aplikasinya program tâ ,positif
203,"perusahaan teknologi asal indonesia, bukalapak, menghadirkan maingame(dot)com di dalam aplikasinya lewat program ""t\",perusahaan teknologi indonesia bukalapak menghadirkan maingame dot com aplikasinya program t ,positif
204,smartphone versi terbaru yang kamu tunggu-tunggu udah keluar di pasaran? yuk beli aja dengan pakâ€¦,smartphone versi terbaru tunggu tunggu udah pasaran yuk beli aja pakâ ,positif
205,smartphone versi terbaru yang kamu tunggu-tunggu udah keluar di pasaran? yuk beli aja dengan pak\,smartphone versi terbaru tunggu tunggu udah pasaran yuk beli aja ,positif
206,"rt perusahaan teknologi asal indonesia, bukalapak, menghadirkan maingame(dot)com di dalam aplikasinya lewat program ""turnamenâ€¦",rt perusahaan teknologi indonesia bukalapak menghadirkan maingame dot com aplikasinya program turnamenâ ,positif
207,"rt perusahaan teknologi asal indonesia, bukalapak, menghadirkan maingame(dot)com di dalam aplikasinya lewat program ""turnamen\",rt perusahaan teknologi indonesia bukalapak menghadirkan maingame dot com aplikasinya program turnamen ,positif
208,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlakuâ€¦,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ ,positif
209,saya mengajakmu bergabung ke bukalapak dan memberikanmu credits rp.. cek:,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
210,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlaku\,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku ,positif
211,saya mengajakmu bergabung ke bukalapak dan memberikanmu credits rp.. cek:,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
212,"nah, pas banget, untuk kamu yang doyan melakukan aktivitas media digital, dari streaming film sampe nge-game, kitaâ€¦",pas banget doyan aktivitas media digital streaming film sampe nge game kitaâ ,positif
213,"nah, pas banget, untuk kamu yang doyan melakukan aktivitas media digital, dari streaming film sampe nge-game, kita\",pas banget doyan aktivitas media digital streaming film sampe nge game ,positif
214,minisite blogger responsiv untul bisnis reseller tokopedia bukalapak dll,minisite blogger responsiv untul bisnis reseller tokopedia bukalapak dll,positif
215,minisite blogger responsiv untul bisnis reseller tokopedia bukalapak dll,minisite blogger responsiv untul bisnis reseller tokopedia bukalapak dll,positif
216,"jadiii, di bukalapak, kamu bisa nikmatin cashback % untuk berlangganan streaming film favorit, sampai top up gameâ€¦",jadiii bukalapak nikmatin cashback berlangganan streaming film favorit top up gameâ ,positif
217,"jadiii, di bukalapak, kamu bisa nikmatin cashback % untuk berlangganan streaming film favorit, sampai top up game\",jadiii bukalapak nikmatin cashback berlangganan streaming film favorit top up game ,positif
218,"dorong industri game, bukalapak hadirkan program turnamen asik",dorong industri game bukalapak hadirkan program turnamen asik,positif
219,"hai kak. mohon maaf buat kendalanya ya. demi keamanan data kakak, pindah ke dm yuk kak buat infoin alamat eâ€¦",hai kak mohon maaf kendalanya ya keamanan data kakak pindah dm yuk kak infoin alamat eâ ,negatif
220,"harga di amazon usd, sampe sini usd (shipping + bea cukai), dijual juta di",harga amazon usd sampe usd shipping bea cukai dijual juta,negatif
221,"rt harga di amazon usd, sampe sini usd (shipping + bea cukai), dijual juta di",rt harga amazon usd sampe usd shipping bea cukai dijual juta,negatif
222,nyari temen buat diajak deeptalk di bukalapak ada gak ya?,nyari temen diajak deeptalk bukalapak gak ya ,netral
223,"di bukalapak ada menu investasi emas, di sana ada layanan nabung emas batangan",bukalapak menu investasi emas layanan nabung emas batangan,positif
224,"di bukalapak ada menu investasi emas, di sana ada layanan nabung emas batangan",bukalapak menu investasi emas layanan nabung emas batangan,positif
225,deeptalk bukalapak apaan tuh hyung?,deeptalk bukalapak tuh hyung ,netral
226,setuju sy dgn perhatian olshop tersebut,setuju sy dgn perhatian olshop,positif
227,min saya mau membatalkan transaksi karena mau merubah kurir kok susah ya,min membatalkan transaksi merubah kurir susah ya,negatif
228,min saya mau membatalkan transaksi karena mau merubah kurir kok susah ya,min membatalkan transaksi merubah kurir susah ya,negatif
229,hi admin no tagihan blizxxehinv sudah saya bayar dan sy disuruh nunggu verifikasi dan batas waktu baâ€¦,hi admin no tagihan blizxxehinv bayar sy disuruh nunggu verifikasi batas baâ ,negatif
230,hi admin no tagihan blizxxehinv sudah saya bayar dan sy disuruh nunggu verifikasi dan batas waktu ba\,hi admin no tagihan blizxxehinv bayar sy disuruh nunggu verifikasi batas ba ,negatif
231,rt belum punya tabungan bni? buka tabungan bni sekarang lebih mudah dgn aplikasi bni mobile banking. ada hadiah ekstra berupa e-vouch\,rt tabungan bni buka tabungan bni mudah dgn aplikasi bni mobile banking hadiah ekstra e vouch ,positif
232,"hai kak, maaf banget buat kamu nggak nyaman ya kak. yuk lampirkan bukti pembayaran kamu melalui dm agarâ€¦",hai kak maaf banget nggak nyaman ya kak yuk lampirkan bukti pembayaran dm agarâ ,negatif
233,"hai kak, maaf banget buat kamu nggak nyaman ya kak. yuk lampirkan bukti pembayaran kamu melalui dm agar\",hai kak maaf banget nggak nyaman ya kak yuk lampirkan bukti pembayaran dm ,negatif
234,buat buka usaha min ;),buka usaha min ,positif
235,sertifikat prakerja tertahan lama di bukalapak - | cc,sertifikat prakerja tertahan bukalapak cc,negatif
236,bukalapak emang cincay,bukalapak emang cincay,positif
237,bukalapak emang cincay,bukalapak emang cincay,positif
238,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlakuâ€¦,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ ,positif
239,"fix gua gabut malem"" dengerin lagu iklan bukalapak",fix gua gabut malem dengerin lagu iklan bukalapak,negatif
240,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlaku\,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku ,positif
241,"fix gua gabut malem"" dengerin lagu iklan bukalapak",fix gua gabut malem dengerin lagu iklan bukalapak,negatif
242,min sekarang udah gak ada fitur batalkan pesanan ya? pesanan saya udah hari gak di kirim sama pelapak masih proses terus ðÿ˜©,min udah gak fitur batalkan pesanan ya pesanan udah gak kirim pelapak proses ðÿ ,negatif
243,min sekarang udah gak ada fitur batalkan pesanan ya? pesanan saya udah hari gak di kirim sama pelapak masih proses terus ??,min udah gak fitur batalkan pesanan ya pesanan udah gak kirim pelapak proses ,negatif
244,untuk beli hp bos,beli hp bos,positif
245,kirain rui mau pake embel bukalapak juga kek sheeps????,kirain rui pake embel bukalapak kek sheeps ,netral
246,mau checkout marketplace tapi punyanya dana atau gopay? dm aja yuk aku bantu^^,checkout marketplace punyanya dana gopay dm aja yuk bantu ,netral
247,"baik kak mohon maaf atas kendalanya ya kak, akan segera bela bantu kak untuk pemeriksaannya dahulu namâ€¦",kak mohon maaf kendalanya ya kak bela bantu kak pemeriksaannya namâ ,negatif
248,"baik kak mohon maaf atas kendalanya ya kak, akan segera bela bantu kak untuk pemeriksaannya dahulu nam\",kak mohon maaf kendalanya ya kak bela bantu kak pemeriksaannya nam ,negatif
249,"males sama bukalapak, dan kayaknya semua seller juga merasakan hal yg samaâ€¦",males bukalapak kayaknya seller merasakan yg samaâ ,negatif
250,"males sama bukalapak, dan kayaknya semua seller juga merasakan hal yg sama\",males bukalapak kayaknya seller merasakan yg ,negatif
251,rt tgl juni ini baru ngeh harus bayar pajak motor. lalu cobain perpanjang online via app samolnas dan bayar di bukalapak. hariâ€¦,rt tgl juni ngeh bayar pajak motor cobain perpanjang online via app samolnas bayar bukalapak hariâ ,positif
252,rt tgl juni ini baru ngeh harus bayar pajak motor. lalu cobain perpanjang online via app samolnas dan bayar di bukalapak. hari\,rt tgl juni ngeh bayar pajak motor cobain perpanjang online via app samolnas bayar bukalapak ,positif
253,"hai kak, maaf banget ya atas kendalanya, yuk lampirkan screenshot kendalanya lewat dm, agar bella bantu cek ya kak :) ^ep",hai kak maaf banget ya kendalanya yuk lampirkan screenshot kendalanya dm bella bantu cek ya kak ep,negatif
254,bukalapak emang cincai,bukalapak emang cincai,positif
255,untuk menuju sukses selain meningkatkan produktivitas pasti banyak membutuhkan faktor lainnya,sukses meningkatkan produktivitas membutuhkan faktor,positif
256,"untuk menuju sukses, selain meningkatkan produktivitas, pasti akan membutuhkan banyak faktor lainnya.",sukses meningkatkan produktivitas membutuhkan faktor ,netral
257,aku g pernah beli disitu nder tp klo mau ak ada kenalan seller di shopee bukalapak tokoped dia jualn\,g beli disitu nder tp klo ak kenalan seller shopee bukalapak tokoped jualn ,netral
258,yukk hari ini rb aja.. bukalapak ready biar sama sama enak,yukk rb aja bukalapak ready biar enak,positif
259,yukk hari ini rb aja.. bukalapak ready biar sama sama enak,yukk rb aja bukalapak ready biar enak,positif
260,rt gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlaku khususâ€¦,rt gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku khususâ ,positif
261,rt gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlaku khusus\,rt gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku khusus ,positif
262,ini sudah dibayar tagihan malah gak terkonfirmasi dan kadaluwarsa duit juga ga ke refund,dibayar tagihan gak terkonfirmasi kadaluwarsa duit ga refund,negatif
263,bahagia itu dapat cashback bukalapak rb wahhh,bahagia cashback bukalapak rb wahhh,positif
264,"min , apakah bisa satu akun di bukalapak untuk dua toko dengan lokasi yang berbeda?",min akun bukalapak toko lokasi berbeda ,netral
265,"halo kak, maaf bikin kamu nggak nyaman. boleh diinfokan untuk detail kendala dan nomor telepon/alamat emâ€¦",halo kak maaf bikin nggak nyaman diinfokan detail kendala nomor telepon alamat emâ ,negatif
266,"halo kak, maaf bikin kamu nggak nyaman. boleh diinfokan untuk detail kendala dan nomor telepon/alamat em\",halo kak maaf bikin nggak nyaman diinfokan detail kendala nomor telepon alamat em ,negatif
267,mending reksadana aja ahh soalnya return nya perlahan tapi pasti. dan yg pasti sih lebih gede dari bunga deposito,mending reksadana aja ahh return nya perlahan yg sih gede bunga deposito,positif
268,mending reksadana aja ahh soalnya return nya perlahan tapi pasti. dan yg pasti sih lebih gede dari bunga deposito,mending reksadana aja ahh return nya perlahan yg sih gede bunga deposito,positif
269,reksadana aja soalnya reksadana saham sekarang lagi pada murah-murah harganya,reksadana aja reksadana saham murah murah harganya,positif
270,reksadana dong soalnya lebih nyaman aja karena ada manajer investasi yang bisa dipercaya,reksadana nyaman aja manajer investasi dipercaya,positif
271,reksadana aja soalnya reksadana saham sekarang lagi pada murah-murah harganya,reksadana aja reksadana saham murah murah harganya,positif
272,reksadana dong soalnya lebih nyaman aja karena ada manajer investasi yang bisa dipercaya,reksadana nyaman aja manajer investasi dipercaya,positif
273,reksadana dong pastinya. kalo emas sih mah returnnya cuma tergantung kalo lagi ada peristiwa dunia doang,reksadana pastinya kalo emas sih mah returnnya tergantung kalo peristiwa dunia doang,positif
274,reksadana dong pastinya. kalo emas sih mah returnnya cuma tergantung kalo lagi ada peristiwa dunia doang,reksadana pastinya kalo emas sih mah returnnya tergantung kalo peristiwa dunia doang,positif
275,pasti pilih reksadana soalnya cuma mulai dari aja sekarang sudah bisa nabung di reksadana,pilih reksadana aja nabung reksadana,positif
276,pasti pilih reksadana soalnya cuma mulai dari aja sekarang sudah bisa nabung di reksadana,pilih reksadana aja nabung reksadana,positif
277,reksadana dong soalnya diawasi oleh ojk,reksadana diawasi ojk,positif
278,reksadana dong soalnya diawasi oleh ojk,reksadana diawasi ojk,positif
279,reksa dana dong ud bisa konsultasi sama ahlinya di telegram yang disediakan bukalapak,reksa dana ud konsultasi ahlinya telegram disediakan bukalapak,positif
280,reksa dana dong ud bisa konsultasi sama ahlinya di telegram yang disediakan bukalapak,reksa dana ud konsultasi ahlinya telegram disediakan bukalapak,positif
281,"reksa dana dong soalnya bisa mendapatkan gratis dividen setiap tahunnya untuk resiko pendapatan tetap, saham, dan campuran",reksa dana gratis dividen tahunnya resiko pendapatan saham campuran,positif
282,"reksa dana dong soalnya bisa mendapatkan gratis dividen setiap tahunnya untuk resiko pendapatan tetap, saham, dan campuran",reksa dana gratis dividen tahunnya resiko pendapatan saham campuran,positif
283,"reksa dana dong larena lebih banyak macamnya (ada reksa dana pasar uang, pendapatan tetap, saham, sampaiâ€¦",reksa dana larena macamnya reksa dana pasar uang pendapatan saham sampaiâ ,positif
284,"reksa dana dong larena lebih banyak macamnya (ada reksa dana pasar uang, pendapatan tetap, saham, sampai\",reksa dana larena macamnya reksa dana pasar uang pendapatan saham ,positif
285,reksa dana dong karena bisa menjual reksa dana pasar uang secara instan hanya dalam menit di bukalapak,reksa dana menjual reksa dana pasar uang instan menit bukalapak,positif
286,reksa dana dong karena bisa menjual reksa dana pasar uang secara instan hanya dalam menit di bukalapak,reksa dana menjual reksa dana pasar uang instan menit bukalapak,positif
287,mau checkout marketplace tapi punyanya dana atau gopay? dm aja yuk aku bantu^^,checkout marketplace punyanya dana gopay dm aja yuk bantu ,netral
288,saya mengajakmu bergabung ke bukalapak dan memberikanmu credits rp.. cek:,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
289,saya mengajakmu bergabung ke bukalapak dan memberikanmu credits rp.. cek:,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
290,kenapa gak bisa dibuka ya bl di android.. minta update tapi begitu ke playstore tak ada update.. gimana ini?,gak dibuka ya bl android update playstore update gimana ,negatif
291,cek disini perlengkapan yang kamu butuhkan ada semua dan harganya terbaik untuk kamu.,cek perlengkapan butuhkan harganya terbaik ,positif
292,"rt belanja keperluan si kecil di bukalapak aja, gak perlu ke luar rumah, praktis!",rt belanja keperluan si bukalapak aja gak rumah praktis ,positif
293,rt yokk yang belanja yang belanjaaa~,rt yokk belanja belanjaaa ,positif
294,kubah masjid enamel &amp; stainless harga murah bisa dipesan melalui di,kubah masjid enamel amp stainless harga murah dipesan,positif
295,"betul bosku, banyak promo yang bisa kamu gunakan ketika melakukan transaksi di bukalapak. bisa cek promâ€¦",bosku promo transaksi bukalapak cek promâ ,positif
296,"betul bosku, banyak promo yang bisa kamu gunakan ketika melakukan transaksi di bukalapak. bisa cek prom\",bosku promo transaksi bukalapak cek prom ,positif
297,paket saya lewat lion parcel kok lama gak datang. tracking di bukalapak hari barang tak bergerak,paket lion parcel gak tracking bukalapak barang bergerak,negatif
298,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlakuâ€¦,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ ,positif
299,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlaku\,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku ,positif
300,cek disini perlengkapan yang kamu butuhkan ada semua dan harganya terbaik untuk kamu.,cek perlengkapan butuhkan harganya terbaik ,positif
301,saya mengajakmu bergabung ke bukalapak dan memberikanmu credits rp.. cek:,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
302,saya mengajakmu bergabung ke bukalapak dan memberikanmu credits rp.. cek:,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
303,jawaban cs suruh terus terusan menunggu. ya gimana dong ya. uang saya bayar jam : tanggal oktober. sampai seâ€¦,cs suruh terusan menunggu ya gimana ya uang bayar jam tanggal oktober seâ ,negatif
304,jawaban cs suruh terus terusan menunggu. ya gimana dong ya. uang saya bayar jam : tanggal oktober. sampai se\,cs suruh terusan menunggu ya gimana ya uang bayar jam tanggal oktober ,negatif
305,tolong ya kak untuk akun saya. uang kan sudah masuk ke pihak bukalapak sementara status order malah kadaluarsa. bukâ€¦,tolong ya kak akun uang masuk bukalapak status order kadaluarsa bukâ ,negatif
306,tolong ya kak untuk akun saya. uang kan sudah masuk ke pihak bukalapak sementara status order malah kadaluarsa. buk\,tolong ya kak akun uang masuk bukalapak status order kadaluarsa buk ,negatif
307,"investor korea selatan gencar berinvestasi di startup asia tenggara seperti bukalapak dan grab. kini, korea investm\",investor korea selatan gencar berinvestasi startup asia tenggara bukalapak grab korea investm ,positif
308,reksa dana karena dana yang telah dikumpulkan bisa dibelanjakan di aplikasi bukalapak,reksa dana dana dikumpulkan dibelanjakan aplikasi bukalapak,positif
309,reksa dana karena dana yang telah dikumpulkan bisa dibelanjakan di aplikasi bukalapak,reksa dana dana dikumpulkan dibelanjakan aplikasi bukalapak,positif
310,reksa dana karena sering ada promo-promo menarik atau cashback dalam pembelian reksa dana,reksa dana promo promo menarik cashback pembelian reksa dana,positif
311,reksa dana karena sering ada promo-promo menarik atau cashback dalam pembelian reksa dana,reksa dana promo promo menarik cashback pembelian reksa dana,positif
312,reksa dana karena cashback berupa credit yang didapatkan setelah belanja dapat digunakan untuk menabung di reksa dana bukalapak,reksa dana cashback credit didapatkan belanja menabung reksa dana bukalapak,positif
313,reksa dana karena cashback berupa credit yang didapatkan setelah belanja dapat digunakan untuk menabung di reksa dana bukalapak,reksa dana cashback credit didapatkan belanja menabung reksa dana bukalapak,positif
314,"buat kamu-kamu yang ngaku anak motor atau anak mobil, pas banget nih, lagi ada pasar diskon otomotif di bukalapak!\",ngaku anak motor anak mobil pas banget nih pasar diskon otomotif bukalapak ,positif
315,"biar makin asik dan seru long weekend-nya, kuy ke bukalapak, karena lagi ada di",biar asik seru long weekend nya kuy bukalapak,positif
316,dari tanggal tidak ada update status resi kak,tanggal update status resi kak,negatif
317,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlakuâ€¦,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ ,positif
318,dari tanggal tidak ada update status resi kak,tanggal update status resi kak,negatif
319,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlaku\,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku ,positif
320,sudah hampir lewat x jam kak. kenapa uang syaa belum kembali ke akun? bukti pembayaran kan jelas kak ada tanggalâ€¦,x jam kak uang syaa akun bukti pembayaran kak tanggalâ ,negatif
321,paketkuuu hari dibawa kurir terus tapi gak nyampe-nyampe. dia kenapaaa? :(,paketkuuu dibawa kurir gak nyampe nyampe kenapaaa ,negatif
322,hai kak. maaf banget atas kendalanya. mohon informasikan nomor transaksinya ya kak. (contoh: ********\,hai kak maaf banget kendalanya mohon informasikan nomor transaksinya ya kak contoh ,negatif
323,saya melakukan pembayaran kartu kredit melalui applikasi bl dg internet banking. saldo rekening sudah te\,pembayaran kartu kredit applikasi bl dg internet banking saldo rekening te ,negatif
324,"halo , mungkin bisa terinspirasi.",halo terinspirasi ,positif
325,"paket saya dengan nomor resi terkena status criss cross, status barang sud\",paket nomor resi terkena status criss cross status barang sud ,negatif
326,"siap kak. dengan senang hati akan bella bantu namun, yuk ngobrolnya pindah ke inbox dan mohon info\",kak senang hati bella bantu yuk ngobrolnya pindah inbox mohon info ,negatif
327,"semakin mudah, sahabat sekarang bisa pilih program-program rumah zakat langsung di bukalapak",mudah sahabat pilih program program rumah zakat langsung bukalapak,positif
328,"semakin mudah, sahabat sekarang bisa pilih program-program rumah zakat langsung di bukalapak",mudah sahabat pilih program program rumah zakat langsung bukalapak,positif
329,ngeblok ketika gc bisa jawab permintaan pengembalian uang saya.jelas yg salah toko penjual.kok malah ru\,ngeblok gc permintaan pengembalian uang yg salah toko penjual ru ,negatif
330,ini lagi..jelas gambar tiang..cs lapaknya malah bilang satu tiang..apa sembarang aja terima penjual d\,gambar tiang cs lapaknya bilang tiang sembarang aja terima penjual d ,negatif
331,"min tolong pesanan ane dgn no transaksi untuk segera di batalkan, seller no respon,,",min tolong pesanan ane dgn no transaksi batalkan seller no respon ,negatif
332,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlakuâ€¦,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ ,positif
333,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlaku\,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku ,positif
334,saya mengajakmu bergabung ke bukalapak dan memberikanmu credits rp.. cek:,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
335,saya mengajakmu bergabung ke bukalapak dan memberikanmu credits rp.. cek:,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
336,nah pas banget! nanti jam . kamu bisa dapetin masker mediheal x bt dengan harga spesial!!,pas banget jam dapetin masker mediheal x bt harga spesial ,positif
337,bismillah.mudah.mudaha si cepat bisa dapet hadiah amiin wha.,bismillah mudah mudaha si cepat dapet hadiah amiin wha ,positif
338,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlaku\,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku ,positif
339,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlaku\,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku ,positif
340,sms nya dari bukalapak. tapi sedang tidak ada transaksi.,sms nya bukalapak transaksi ,negatif
341,sms nya dari bukalapak. tapi sedang tidak ada transaksi.,sms nya bukalapak transaksi ,negatif
342,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlakuâ€¦,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ ,positif
343,gratisan buat kamu! pake kode ongkirgratis pas belanja di bukalapak biar ongkir kamu gratis (maks. rprb). berlaku\,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku ,positif
344,"fitur buka send (paket diluar bukalapak, misal saya punya brg yg tdk di jual di bukalapak tpâ€¦",fitur buka send paket diluar bukalapak brg yg tdk jual bukalapak tpâ ,negatif
345,"fitur buka send (paket diluar bukalapak, misal saya punya brg yg tdk di jual di bukalapak tp\",fitur buka send paket diluar bukalapak brg yg tdk jual bukalapak tp ,negatif
346,maaf banget buat kendala kamu :( dicoba berkala dengan logiut lalu log in kembali pada akun bukalapak kam\,maaf banget kendala dicoba berkala logiut log in akun bukalapak kam ,positif
347,saya pernah hampir ketipu. untung keburu curiga. saya ikutin semua petunjuk dari pelapak. teruâ€¦,ketipu untung keburu curiga ikutin petunjuk pelapak teruâ ,negatif
348,terimakasih infonya????,terimakasih infonya ,netral
349,kalau yg sekarang dapat sms dari bukalapak.,yg sms bukalapak ,positif
